feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__coprophilus,healthy,2.73548815,0.6355072,0.6355072
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Papillibacter,healthy,2.73087718,0.03433074,0.03433074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Papillibacter|s__cinnamivorans,healthy,2.73087718,0.03433074,0.03433074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae,healthy,2.7293727,0.006947654,0.006947654
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus,healthy,2.72862875,0.007623423,0.007623423
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__ginsengarvi,healthy,2.72794515,0.008379722,0.008379722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__un_f__[Mogibacteriaceae],healthy,2.70302214,0.05029676,0.05029676
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__un_f__[Mogibacteriaceae]|s__un_f__[Mogibacteriaceae],healthy,2.70302214,0.05029676,0.05029676
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__indistinctus,healthy,2.69588759,0.02295043,0.02295043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__onderdonkii,healthy,2.68782366,0.01257506,0.01257506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],healthy,2.68391355,0.07069031,0.07069031
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enterococcus_f__Coriobacteriaceae,healthy,2.68289564,0.1285048,0.1285048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enterococcus_f__Coriobacteriaceae|s__casseliflavus_g__Enterococcus_f__Coriobacteriaceae,healthy,2.68289564,0.1285048,0.1285048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__un_g__Dorea,healthy,2.65968795,0.9827767,0.9827767
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__lenta,healthy,2.58299261,0.09473602,0.09473602
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,healthy,2.57387766,0.09473602,0.09473602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae],healthy,2.53927273,0.03210914,0.03210914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__un_g__Peptostreptococcus,healthy,2.51187691,0.01138896,0.01138896
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus,healthy,2.50599544,0.009950132,0.009950132
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__un_g__Cloacibacillus,healthy,2.49561378,0.01125733,0.01125733
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__distasonis,healthy,2.49227651,0.286816,0.286816
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus,healthy,2.49173982,0.01125733,0.01125733
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,healthy,2.48533202,0.2769342,0.2769342
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,healthy,2.47900165,0.4731997,0.4731997
